anc,psi
8.342599,4.351979
4.892074,1.804265
25.196667,13.14403
192.100288,100.210558
5.776613,3.013413
3278.36273,1.050965
76.950225,7.754104
1714.663341,13130.957675
849.305987,341.487389
1122.982019,438.262162
141.193352,73.654572
18302.242716,3244.486423
2433.239368,8.126347
20.277634,10.57798
500.149947,213.989479
192.335871,8.087317
753.346755,258.563157
51.304392,0.472903
7213.954253,1712.998084
38.538219,19.21387
599.448295,247.658535
528.91546,201.815713
26.229243,13.682681
55.108112,17.160503
50.788426,26.494163
9.759882,3.401478
177.314284,64.660066
1000.037417,124.165778
956.897415,9897.792395
12.776495,4.995329
1012.754324,10427.763873
4.069734,1.949898
484.281008,208.194773
4.069734,0.09985
86.014486,42.305391
11.477556,74.267323
11.477556,3.838009
76.584528,12.241111
11.576349,6.038889
31.566339,16.466817
63.171179,11.19855
472.896861,199.813254
35.552839,14.298502
28.954434,3.368868
27.501373,0.025054
102.63348,52.011197
5886.605225,1516.974861
70.248894,33.627929
10.928906,0.151106
65.398177,34.11545
99.566947,51.939845
25.065733,9.400947
459.568357,3249.980652
103.179096,12.458793
459.568357,169.681216
535.874191,14.487796
190.928334,99.599199
353.071143,100.16257
15.081933,7.867603
17.148182,7.962592
121.413721,40.678606
17.207345,0.15976
21.253291,2.640467
155.479463,78.223377
19.532916,6.218125
76.280894,39.792501
507.557005,213.140042
5482.351066,1450.118725
2.032208,0.179459
2213.239856,113.920188
316.2616,146.840763
16184.682193,2532.02414
10.064677,5.250314
77.073023,231.025768
109.440425,9.154242
1211.654102,430.194247
2.585159,1.348567
7.572284,3.950138
8325.997192,188.365757
1260.061297,485.433197
44.09221,1.069317
301.838011,140.173732
23.988582,4.311986
15.419377,170.232622
4.643083,2.422099
9.278194,0.662818
345.128913,742.330879
345.128913,157.381958
463.106689,113.207431
497.272433,212.938725
7.194947,3.753298
2.773377,37.591236
5.934675,2.789333
31.352299,33.520585
152.63081,79.621008
61.360773,32.009307
19.719469,10.286809
10.041871,5.238417
191.988515,40.697213
376.90182,164.280519
11.321181,2.464022
43271.953846,507.946289
31.96605,14.624786
3.430789,1.789697
60.876324,31.756592
191.343778,99.815919
42.335696,20.550304
1018.901225,10486.085797
15.892114,181.935798
382.698166,154.343092
974.838184,383.441182
25.875369,12.74591
1018.901225,403.41683
16.121868,4.587718
28.352472,384.29833
732.149413,290.450682
392766.178574,27794.563465
5.823546,3.037896
142.547145,683.725211
4.007868,1.189252
808.259692,3.453839
808.259692,3.453839
3.040295,1.293006
37.969117,11.13831
21.764921,9.058142
1822.054748,454.831279
10.096679,5.267008
5038.398444,309.62637
13160.622742,2164.853486
49.421814,22.10214
487.778519,163.925989
40.640907,21.200634
23.636307,12.330057
80.731377,42.114128
124.357616,21.769096
91.543003,292.478944
5050.859039,1011.480256
4.060634,1.622606
2000.295471,452.517273
193.270195,94.253238
8.184412,67.111211
68.401523,33.371262
6.822451,3.558982
75.243296,28.334578
4.48883,2.341632
316.767181,147.025381
505.277499,215.861857
2.315527,0.841818
41.294997,9.463136
13.945659,2.780671
182.356848,95.127819
33.386949,6.175114
208.168111,107.369316
2.771652,1.384559
1394.596204,520.523769
32.266596,16.832112
309.434705,144.347852
165.028017,86.088104
8.376476,48.364851
348.858667,158.743916
45.115164,19.422033
195.569078,72.400977
1517.208856,552.504674
1717.333617,15420.110021
250.268049,122.74254
4531.477897,1299.297779
12.87919,174.56859
12.87919,6.718526
48.645521,5.450763
3.346144,0.010261
301.925576,9.654843
3.346144,0.010261
1136.166897,446.237593
4307.293015,1214.790274
56.938226,29.702253
6048394.234433,116989.813226
7.621956,0.766354
11849.367851,2423.06868
28.204882,85.514043
2195.423446,949.170899
51.105535,26.659586
583.669712,199.037733
912.200603,351.771315
2189.780903,568.216265
126.945441,50.306165
1414.789467,512.4609
80.207387,41.840785
31.555005,16.460905
12640507.862794,185395.660472
153.953952,0.117482
67.70946,35.321148
145.137341,65.275864
6.515539,3.398879
36.757816,338.542906
7.548644,136.725635
348.033296,152.947148
15.214639,7.936831
12.864664,5.947358
44.266647,0.100217
37.300437,8.57222
773.462545,310.142994
89.813407,32.456571
655.285987,3220.15842
3.561289,1.857773
9.270276,4.229111
1252.947571,352.877766
269.696662,129.837098
116.909149,0.262259
5.589419,0.012026
151.402396,78.980197
6.761483,3.527178
7.013557,95.063959
7.013557,3.658674
101.249616,52.817623
9.83836,4.737218
33.943362,6.306009
137.412891,0.694231
97.465275,50.843492
2665.492265,592.425222
338.472687,0.020041
22.674908,7.193721
125.862975,1400.823478
985.567485,372.387261
3.0178,1.505495
5.670002,2.672644
21.254101,2.752045
6.655421,2.693206
44.108337,23.009445
2293.631605,700.851122
24.87003,217.888755
102.909389,53.683455
140.149766,67.283178
4.524731,2.360359
4.129006,1.877349
81.468962,27.115519
70.69291,36.877487
194.400641,58.419578
8.936681,0.735859
37.395468,13.05123
71.952141,37.534374
32.410449,16.907153
2.344743,1.223153
1337.250637,13156.409365
483.723482,122.066641
608.206672,116.969666
16.357962,8.285445
685.347512,281.61627
13.20341,112.710912
13.20341,6.887658
32.231125,13.091745
124.507762,45.274063
292.052047,14.945248
359.228455,157.277271
19.445531,10.143907
33.129785,17.282401
182.348825,79.26484
3001.978098,850.228475
12.573999,2.85164
1052.014303,324.641426
22.119911,9.654624
597.124999,254.878612
65.695331,1.997002
197.363828,0.035178
5.665212,2.9553
33.760642,10.684791
841.438791,338.614601
3.069156,1.601048
1072.272299,419.900046
3.723496,1.942389
4813.777467,1308.298884
116.889243,21.042092
112.864897,58.876821
134.359412,49.77567
58.694392,11.994185
22.851879,14.529332
58.201207,13.818165
152.261988,1.938199
23.111368,8.389921
4.519728,2.35775
300.497708,4.0613
40.229973,21.050254
388.265919,168.983033
20.276859,2.654759
20.838144,5.006898
50.137345,602.383158
2698.07796,350.44932
6.345192,3.310016
7.943168,107.664204
59.564942,207.298452
14602.349766,2861.281155
601.271018,0.245532
267.60778,125.856258
29.70885,14.866034
262.916639,127.361303
87.381848,45.583397
71.530755,37.314555
19.470599,6.490806
29.257836,14.893428
28.204882,14.713288
167.655243,0.350652
6.333395,85.844824
482.683509,197.082428
809.860612,327.083506
2510.99164,1.503102
17.270543,5.41354
741.384166,302.078628
2121.101325,536.253964
20.343774,275.745912
932.520236,370.565194
1571.15235,566.574689
65.715337,18.105429
338.622565,154.619639
18904.079681,3310.0871
61.774339,29.497778
496.471207,1.061115
15.741606,8.211726
21.239835,3.229699
249413.734276,9079.908632
80.677812,31.128126
3.218267,13.440408
1010.745279,15.01623
203.13038,105.529737
10.355488,140.361548
97.207578,36.548066
348.090961,158.46358
274.807378,130.248461
105.731346,1433.115933
254.304948,124.216655
15811.21707,2987.404097
565.051722,237.689028
4688.642707,1300.089381
3809.273697,1055.809718
945.584798,217.311968
27.949093,13.961047
27.230891,7.232465
6.136749,0.990222
3.055687,0.297747
1133.583748,380.128997
6.12179,1.527925
124.236198,946.570746
19.222692,10.027661
26.50999,1.39516
161.969381,62.807744
2767.655242,875.226474
15.158823,0.11982
30.36825,1.400432
359.124335,99.259199
4.885439,2.43094
1424.597641,528.349007
33.114655,16.874239
104.82943,1137.931235
104.82943,43.794938
474.407725,202.760309
31.320924,12.388819
365.86782,4288.74969
6.275994,1.676642
63.968719,31.908129
211.219441,103.27665
24.797403,0.64193
12042.84148,2207.248699
49.497915,22.388003
2.029298,1.058598
2.03783,1.063049
18.2535,4.907805
14.083713,7.346874
57.842369,30.173906
19.636105,7.961163
176.264491,59.775277
3.097458,1.615812
12.121912,6.323486
138.676643,72.341712
16.959268,8.846929
5.784583,1.318648
102.465542,52.557906
16.996012,8.866097
34.136526,16.931468
10.029662,5.110167
17.156824,0.542967
44.777454,23.358495
10.224698,1.063491
